Unnamed: 0,mz(Da),RT(s),id,maxInt,maxInt_frac
1147,193.0902557373047,249.2259152183532,3338,62391.17120361328,0.7026684665155165
1148,193.0902709960938,301.7034561882019,3988,479300.9891967773,0.7861703339721243
1149,193.0902862548828,259.3655753383636,3468,156584.9554443359,0.7853508317643952
1150,193.0902862548828,334.018752122879,4350,41017.26690673828,0.6801650578568134
1151,193.0902862548828,285.9801302204132,3794,651107.8159179688,0.7720343892528714
1152,193.0903015136719,254.2201082954407,3403,105069.6359863281,0.7889693895321641
1153,193.0903015136719,323.2629993209839,4233,61486.98089599609,0.7143925935199131
1154,193.0903015136719,350.4741993198394,4521,61255.13824462891,0.7153290856394745
1155,193.0903167724609,339.5613632450104,4412,52335.36181640625,0.6544060638224851
1156,193.09033203125,264.6705212841034,3533,226418.9727172852,0.7784715063171206
1157,193.09033203125,344.9730983028412,4466,62952.16143798828,0.7063914275811569
1158,193.09033203125,355.7534191856384,4573,51143.94604492188,0.1621723092827529
1159,193.09033203125,280.7279522666931,3728,398933.1233520508,0.7852898309562981
1160,193.0903472900391,269.981020236969,3598,332945.5335693359,0.7886859629408897
1161,194.9459381103516,28.43685033416748,260,465647.6069335938,0.7468864218808235
1162,194.946044921875,34.06158020591737,345,139409.2915039062,0.7199174359528814
1163,194.9462280273438,82.97652819252012,1013,162563.4375610352,0.5380464451279843
1164,194.9462432861328,50.60604312515259,584,220169.7331542969,0.6621866277270122
1165,194.9462432861328,61.29194429016114,726,146950.1257324219,0.5959439014666891
1166,194.9462738037109,39.40480425453186,424,209934.1206054688,0.6648442835183608
1167,194.9463348388672,88.20299818611144,1088,197186.3428344727,0.5661485680005388
1168,194.9463348388672,109.3719182262421,1388,237603.4058227539,0.5173239055617479
1169,194.9463500976562,77.56887629127505,938,117934.7228393555,0.5544133598937055
1170,194.9463806152344,44.85416224098206,505,347079.6037597656,0.6830664185012036
1171,194.9463806152344,93.54542710876464,1163,207283.9358520508,0.5754685346077185
1172,194.9463806152344,56.04570224380493,659,85627.66088867188,0.5930181589161895
1173,194.9463958740234,502.2248881111146,6002,8430.360229492188,0.6619527337014101
1174,194.9463958740234,12.68110730743408,90,10221.79614257812,0.6427046773160628
1175,194.9463958740234,132.3286812553406,1725,60507.51806640625,0.5501875061577325
1176,194.9463958740234,508.5634823093414,6049,8382.602844238281,0.5868381857901924
1177,194.9464111328125,72.10536911582946,864,136015.0710449219,0.5862161726818205
